date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:43	85147/85147	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:41%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/coats.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/coats.html	(from )
09:57:47	85159/85159	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:43%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/jackets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/jackets.html	(from )
09:57:49	85267/85267	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:47%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/leather-jackets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/leather-jackets.html	(from )
09:57:51	85159/85159	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:49%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/blazers.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/coats-jackets/blazers.html	(from )
09:57:53	85541/85541	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:51%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/swimwear.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/swimwear.html	(from )
09:57:56	85138/85138	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:53%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/swimwear/swimsuits.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/swimwear/swimsuits.html	(from )
09:57:58	85208/85208	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:56%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/swimwear/beach-clothing.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/swimwear/beach-clothing.html	(from )
09:58:00	85126/85126	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:58%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/swimwear/bikinis.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/swimwear/bikinis.html	(from )
09:58:02	127372/127372	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:00%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics.html	(from )
09:58:03	124263/124263	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:02%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones.html	(from )
09:58:05	114957/114957	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:03%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/sample.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/sample.html	(from )
09:58:07	85173/85173	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:05%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/apple.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/apple.html	(from )
09:58:09	85205/85205	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:07%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/samsung.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/samsung.html	(from )
09:58:12	85243/85243	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:09%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/blackberry.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/blackberry.html	(from )
09:58:15	85211/85211	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:12%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/motorola.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/motorola.html	(from )
09:58:18	85173/85173	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:15%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/nokia.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/nokia.html	(from )
09:58:20	85161/85161	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:18%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/smartphones/htc.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/smartphones/htc.html	(from )
09:58:22	118420/118420	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:20%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/phone-accessories.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/phone-accessories.html	(from )
09:58:23	118608/118608	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:58:22%20GMT	http://ultimo.infortis-themes.com/demo/second2/electronics/phone-accessories/headsets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/electronics/phone-accessories/headsets.html	(from )
